,Pclass,Sex,Age,SibSp,Parch,Fare,Cabin,Embarked_C,Embarked_Q,Embarked_S
0,3.0,0.0,22.0,1.0,0.0,7.25,0.0,0.0,0.0,1.0
1,1.0,1.0,38.0,1.0,0.0,71.2833,15845.0,1.0,0.0,0.0
2,3.0,1.0,26.0,0.0,0.0,7.925,0.0,0.0,0.0,1.0
3,1.0,1.0,35.0,1.0,0.0,53.1,561243.0,0.0,0.0,1.0
4,3.0,0.0,35.0,0.0,0.0,8.05,0.0,0.0,0.0,1.0
5,3.0,0.0,,0.0,0.0,8.4583,0.0,0.0,1.0,0.0
6,1.0,0.0,54.0,0.0,0.0,51.8625,18294.0,0.0,0.0,1.0
7,3.0,0.0,2.0,3.0,1.0,21.075,0.0,0.0,0.0,1.0
8,3.0,1.0,27.0,0.0,2.0,11.1333,0.0,0.0,0.0,1.0
9,2.0,1.0,14.0,1.0,0.0,30.0708,0.0,1.0,0.0,0.0
10,3.0,1.0,4.0,1.0,1.0,16.7,582.0,0.0,0.0,1.0
11,1.0,1.0,58.0,0.0,0.0,26.55,561171.0,0.0,0.0,1.0
12,3.0,0.0,20.0,0.0,0.0,8.05,0.0,0.0,0.0,1.0
13,3.0,0.0,39.0,1.0,5.0,31.275,0.0,0.0,0.0,1.0
14,3.0,1.0,14.0,0.0,0.0,7.8542,0.0,0.0,0.0,1.0
15,2.0,1.0,55.0,0.0,0.0,16.0,0.0,0.0,0.0,1.0
16,3.0,0.0,2.0,4.0,1.0,29.125,0.0,0.0,1.0,0.0
17,2.0,0.0,,0.0,0.0,13.0,0.0,0.0,0.0,1.0
18,3.0,1.0,31.0,1.0,0.0,18.0,0.0,0.0,0.0,1.0
19,3.0,1.0,,0.0,0.0,7.225,0.0,1.0,0.0,0.0
20,2.0,0.0,35.0,0.0,0.0,26.0,0.0,0.0,0.0,1.0
21,2.0,0.0,34.0,0.0,0.0,13.0,17034.0,0.0,0.0,1.0
22,3.0,1.0,15.0,0.0,0.0,8.0292,0.0,0.0,1.0,0.0
23,1.0,0.0,28.0,0.0,0.0,35.5,366.0,0.0,0.0,1.0
24,3.0,1.0,8.0,3.0,1.0,21.075,0.0,0.0,0.0,1.0
25,3.0,1.0,38.0,1.0,5.0,31.3875,0.0,0.0,0.0,1.0
26,3.0,0.0,,0.0,0.0,7.225,0.0,1.0,0.0,0.0
27,1.0,0.0,19.0,3.0,2.0,263.0,15627.0,0.0,0.0,1.0
28,3.0,1.0,,0.0,0.0,7.8792,0.0,0.0,1.0,0.0
29,3.0,0.0,,0.0,0.0,7.8958,0.0,0.0,0.0,1.0
30,1.0,0.0,40.0,0.0,0.0,27.7208,0.0,1.0,0.0,0.0
31,1.0,1.0,,1.0,0.0,146.5208,14516.0,1.0,0.0,0.0
32,3.0,1.0,,0.0,0.0,7.75,0.0,0.0,1.0,0.0
33,2.0,0.0,66.0,0.0,0.0,10.5,0.0,0.0,0.0,1.0
34,1.0,0.0,28.0,1.0,0.0,82.1708,0.0,1.0,0.0,0.0
35,1.0,0.0,42.0,1.0,0.0,52.0,0.0,0.0,0.0,1.0
36,3.0,0.0,,0.0,0.0,7.2292,0.0,1.0,0.0,0.0
37,3.0,0.0,21.0,0.0,0.0,8.05,0.0,0.0,0.0,1.0
38,3.0,1.0,18.0,2.0,0.0,18.0,0.0,0.0,0.0,1.0
39,3.0,1.0,14.0,1.0,0.0,11.2417,0.0,1.0,0.0,0.0
40,3.0,1.0,40.0,1.0,0.0,9.475,0.0,0.0,0.0,1.0
41,2.0,1.0,27.0,1.0,0.0,21.0,0.0,0.0,0.0,1.0
42,3.0,0.0,,0.0,0.0,7.8958,0.0,1.0,0.0,0.0
43,2.0,1.0,3.0,1.0,2.0,41.5792,0.0,1.0,0.0,0.0
44,3.0,1.0,19.0,0.0,0.0,7.8792,0.0,0.0,1.0,0.0
45,3.0,0.0,,0.0,0.0,8.05,0.0,0.0,0.0,1.0
46,3.0,0.0,,1.0,0.0,15.5,0.0,0.0,1.0,0.0
47,3.0,1.0,,0.0,0.0,7.75,0.0,0.0,1.0,0.0
48,3.0,0.0,,2.0,0.0,21.6792,0.0,1.0,0.0,0.0
49,3.0,1.0,18.0,1.0,0.0,17.8,0.0,0.0,0.0,1.0
50,3.0,0.0,7.0,4.0,1.0,39.6875,0.0,0.0,0.0,1.0
51,3.0,0.0,21.0,0.0,0.0,7.8,0.0,0.0,0.0,1.0
52,1.0,1.0,49.0,1.0,0.0,76.7292,16959.0,1.0,0.0,0.0
53,2.0,1.0,29.0,1.0,0.0,26.0,0.0,0.0,0.0,1.0
54,1.0,0.0,65.0,0.0,1.0,61.9792,14364.0,1.0,0.0,0.0
55,1.0,0.0,,0.0,0.0,35.5,15734.0,0.0,0.0,1.0
56,2.0,1.0,21.0,0.0,0.0,10.5,0.0,0.0,0.0,1.0
57,3.0,0.0,28.5,0.0,0.0,7.2292,0.0,1.0,0.0,0.0
58,2.0,1.0,5.0,1.0,2.0,27.75,0.0,0.0,0.0,1.0
59,3.0,0.0,11.0,5.0,2.0,46.9,0.0,0.0,0.0,1.0
60,3.0,0.0,22.0,0.0,0.0,7.2292,0.0,1.0,0.0,0.0
61,1.0,1.0,38.0,0.0,0.0,80.0,14336.0,0.0,0.0,0.0
62,1.0,0.0,45.0,1.0,0.0,83.475,15843.0,0.0,0.0,1.0
63,3.0,0.0,4.0,3.0,2.0,27.9,0.0,0.0,0.0,1.0
64,1.0,0.0,,0.0,0.0,27.7208,0.0,1.0,0.0,0.0
65,3.0,0.0,,1.0,1.0,15.2458,0.0,1.0,0.0,0.0
66,2.0,1.0,29.0,0.0,0.0,10.5,19551.0,0.0,0.0,1.0
67,3.0,0.0,19.0,0.0,0.0,8.1583,0.0,0.0,0.0,1.0
68,3.0,1.0,17.0,4.0,2.0,7.925,0.0,0.0,0.0,1.0
69,3.0,0.0,26.0,2.0,0.0,8.6625,0.0,0.0,0.0,1.0
70,2.0,0.0,32.0,0.0,0.0,10.5,0.0,0.0,0.0,1.0
71,3.0,1.0,16.0,5.0,2.0,46.9,0.0,0.0,0.0,1.0
72,2.0,0.0,21.0,0.0,0.0,73.5,0.0,0.0,0.0,1.0
73,3.0,0.0,26.0,1.0,0.0,14.4542,0.0,1.0,0.0,0.0
74,3.0,0.0,32.0,0.0,0.0,56.4958,0.0,0.0,0.0,1.0
75,3.0,0.0,25.0,0.0,0.0,7.65,15.0,0.0,0.0,1.0
76,3.0,0.0,,0.0,0.0,7.8958,0.0,0.0,0.0,1.0
77,3.0,0.0,,0.0,0.0,8.05,0.0,0.0,0.0,1.0
78,2.0,0.0,0.83,0.0,2.0,29.0,0.0,0.0,0.0,1.0
79,3.0,1.0,30.0,0.0,0.0,12.475,0.0,0.0,0.0,1.0
80,3.0,0.0,22.0,0.0,0.0,9.0,0.0,0.0,0.0,1.0
81,3.0,0.0,29.0,0.0,0.0,9.5,0.0,0.0,0.0,1.0
82,3.0,1.0,,0.0,0.0,7.7875,0.0,0.0,1.0,0.0
83,1.0,0.0,28.0,0.0,0.0,47.1,0.0,0.0,0.0,1.0
84,2.0,1.0,17.0,0.0,0.0,10.5,0.0,0.0,0.0,1.0
85,3.0,1.0,33.0,3.0,0.0,15.85,0.0,0.0,0.0,1.0
86,3.0,0.0,16.0,1.0,3.0,34.375,0.0,0.0,0.0,1.0
87,3.0,0.0,,0.0,0.0,8.05,0.0,0.0,0.0,1.0
88,1.0,1.0,23.0,3.0,2.0,263.0,15627.0,0.0,0.0,1.0
89,3.0,0.0,24.0,0.0,0.0,8.05,0.0,0.0,0.0,1.0
90,3.0,0.0,29.0,0.0,0.0,8.05,0.0,0.0,0.0,1.0
91,3.0,0.0,20.0,0.0,0.0,7.8542,0.0,0.0,0.0,1.0
92,1.0,0.0,46.0,1.0,0.0,61.175,18253.0,0.0,0.0,1.0
93,3.0,0.0,26.0,1.0,2.0,20.575,0.0,0.0,0.0,1.0
94,3.0,0.0,59.0,0.0,0.0,7.25,0.0,0.0,0.0,1.0
95,3.0,0.0,,0.0,0.0,8.05,0.0,0.0,0.0,1.0
96,1.0,0.0,71.0,0.0,0.0,34.6542,365.0,1.0,0.0,0.0
97,1.0,0.0,23.0,0.0,1.0,63.3583,16884.0,1.0,0.0,0.0
98,2.0,1.0,34.0,0.0,1.0,23.0,0.0,0.0,0.0,1.0
99,2.0,0.0,34.0,1.0,0.0,26.0,0.0,0.0,0.0,1.0
100,3.0,1.0,28.0,0.0,0.0,7.8958,0.0,0.0,0.0,1.0
101,3.0,0.0,,0.0,0.0,7.8958,0.0,0.0,0.0,1.0
102,1.0,0.0,21.0,0.0,1.0,77.2875,16926.0,0.0,0.0,1.0
103,3.0,0.0,33.0,0.0,0.0,8.6542,0.0,0.0,0.0,1.0
104,3.0,0.0,37.0,2.0,0.0,7.925,0.0,0.0,0.0,1.0
105,3.0,0.0,28.0,0.0,0.0,7.8958,0.0,0.0,0.0,1.0
106,3.0,1.0,21.0,0.0,0.0,7.65,0.0,0.0,0.0,1.0
107,3.0,0.0,,0.0,0.0,7.775,0.0,0.0,0.0,1.0
108,3.0,0.0,38.0,0.0,0.0,7.8958,0.0,0.0,0.0,1.0
109,3.0,1.0,,1.0,0.0,24.15,0.0,0.0,1.0,0.0
110,1.0,0.0,47.0,0.0,0.0,52.0,561204.0,0.0,0.0,1.0
111,3.0,1.0,14.5,1.0,0.0,14.4542,0.0,1.0,0.0,0.0
112,3.0,0.0,22.0,0.0,0.0,8.05,0.0,0.0,0.0,1.0
113,3.0,1.0,20.0,1.0,0.0,9.825,0.0,0.0,0.0,1.0
114,3.0,1.0,17.0,0.0,0.0,14.4583,0.0,1.0,0.0,0.0
115,3.0,0.0,21.0,0.0,0.0,7.925,0.0,0.0,0.0,1.0
116,3.0,0.0,70.5,0.0,0.0,7.75,0.0,0.0,1.0,0.0
117,2.0,0.0,29.0,1.0,0.0,21.0,0.0,0.0,0.0,1.0
118,1.0,0.0,24.0,0.0,1.0,247.5208,14444.0,1.0,0.0,0.0
119,3.0,1.0,2.0,4.0,2.0,31.275,0.0,0.0,0.0,1.0
120,2.0,0.0,21.0,2.0,0.0,73.5,0.0,0.0,0.0,1.0
121,3.0,0.0,,0.0,0.0,8.05,0.0,0.0,0.0,1.0
122,2.0,0.0,32.5,1.0,0.0,30.0708,0.0,1.0,0.0,0.0
123,2.0,1.0,32.5,0.0,0.0,13.0,654481.0,0.0,0.0,1.0
124,1.0,0.0,54.0,0.0,1.0,77.2875,16926.0,0.0,0.0,1.0
125,3.0,0.0,12.0,1.0,0.0,11.2417,0.0,1.0,0.0,0.0
126,3.0,0.0,,0.0,0.0,7.75,0.0,0.0,1.0,0.0
127,3.0,0.0,24.0,0.0,0.0,7.1417,0.0,0.0,0.0,1.0
128,3.0,1.0,,1.0,1.0,22.3583,15.0,1.0,0.0,0.0
129,3.0,0.0,45.0,0.0,0.0,6.975,0.0,0.0,0.0,1.0
130,3.0,0.0,33.0,0.0,0.0,7.8958,0.0,1.0,0.0,0.0
131,3.0,0.0,20.0,0.0,0.0,7.05,0.0,0.0,0.0,1.0
132,3.0,1.0,47.0,1.0,0.0,14.5,0.0,0.0,0.0,1.0
133,2.0,1.0,29.0,1.0,0.0,26.0,0.0,0.0,0.0,1.0
134,2.0,0.0,25.0,0.0,0.0,13.0,0.0,0.0,0.0,1.0
135,2.0,0.0,23.0,0.0,0.0,15.0458,0.0,1.0,0.0,0.0
136,1.0,1.0,19.0,0.0,2.0,26.2833,16999.0,0.0,0.0,1.0
137,1.0,0.0,37.0,1.0,0.0,53.1,561243.0,0.0,0.0,1.0
138,3.0,0.0,16.0,0.0,0.0,9.2167,0.0,0.0,0.0,1.0
139,1.0,0.0,24.0,0.0,0.0,79.2,14550.0,1.0,0.0,0.0
140,3.0,1.0,,0.0,2.0,15.2458,0.0,1.0,0.0,0.0
141,3.0,1.0,22.0,0.0,0.0,7.75,0.0,0.0,0.0,1.0
142,3.0,1.0,24.0,1.0,0.0,15.85,0.0,0.0,0.0,1.0
143,3.0,0.0,19.0,0.0,0.0,6.75,0.0,0.0,1.0,0.0
144,2.0,0.0,18.0,0.0,0.0,11.5,0.0,0.0,0.0,1.0
145,2.0,0.0,19.0,1.0,1.0,36.75,0.0,0.0,0.0,1.0
146,3.0,0.0,27.0,0.0,0.0,7.7958,0.0,0.0,0.0,1.0
147,3.0,1.0,9.0,2.0,2.0,34.375,0.0,0.0,0.0,1.0
148,2.0,0.0,36.5,0.0,2.0,26.0,542.0,0.0,0.0,1.0
149,2.0,0.0,42.0,0.0,0.0,13.0,0.0,0.0,0.0,1.0
150,2.0,0.0,51.0,0.0,0.0,12.525,0.0,0.0,0.0,1.0
151,1.0,1.0,22.0,1.0,0.0,66.6,434.0,0.0,0.0,1.0
152,3.0,0.0,55.5,0.0,0.0,8.05,0.0,0.0,0.0,1.0
153,3.0,0.0,40.5,0.0,2.0,14.5,0.0,0.0,0.0,1.0
154,3.0,0.0,,0.0,0.0,7.3125,0.0,0.0,0.0,1.0
155,1.0,0.0,51.0,0.0,1.0,61.3792,0.0,1.0,0.0,0.0
156,3.0,1.0,16.0,0.0,0.0,7.7333,0.0,0.0,1.0,0.0
157,3.0,0.0,30.0,0.0,0.0,8.05,0.0,0.0,0.0,1.0
158,3.0,0.0,,0.0,0.0,8.6625,0.0,0.0,0.0,1.0
159,3.0,0.0,,8.0,2.0,69.55,0.0,0.0,0.0,1.0
160,3.0,0.0,44.0,0.0,1.0,16.1,0.0,0.0,0.0,1.0
161,2.0,1.0,40.0,0.0,0.0,15.75,0.0,0.0,0.0,1.0
162,3.0,0.0,26.0,0.0,0.0,7.775,0.0,0.0,0.0,1.0
163,3.0,0.0,17.0,0.0,0.0,8.6625,0.0,0.0,0.0,1.0
164,3.0,0.0,1.0,4.0,1.0,39.6875,0.0,0.0,0.0,1.0
165,3.0,0.0,9.0,0.0,2.0,20.525,0.0,0.0,0.0,1.0
166,1.0,1.0,,0.0,1.0,55.0,18255.0,0.0,0.0,1.0
167,3.0,1.0,45.0,1.0,4.0,27.9,0.0,0.0,0.0,1.0
168,1.0,0.0,,0.0,0.0,25.925,0.0,0.0,0.0,1.0
169,3.0,0.0,28.0,0.0,0.0,56.4958,0.0,0.0,0.0,1.0
170,1.0,0.0,61.0,0.0,0.0,33.5,14301.0,0.0,0.0,1.0
171,3.0,0.0,4.0,4.0,1.0,29.125,0.0,0.0,1.0,0.0
172,3.0,1.0,1.0,1.0,1.0,11.1333,0.0,0.0,0.0,1.0
173,3.0,0.0,21.0,0.0,0.0,7.925,0.0,0.0,0.0,1.0
174,1.0,0.0,56.0,0.0,0.0,30.6958,367.0,1.0,0.0,0.0
175,3.0,0.0,18.0,1.0,1.0,7.8542,0.0,0.0,0.0,1.0
176,3.0,0.0,,3.0,1.0,25.4667,0.0,0.0,0.0,1.0
177,1.0,1.0,50.0,0.0,0.0,28.7125,15705.0,1.0,0.0,0.0
178,2.0,0.0,30.0,0.0,0.0,13.0,0.0,0.0,0.0,1.0
179,3.0,0.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
180,3.0,1.0,,8.0,2.0,69.55,0.0,0.0,0.0,1.0
181,2.0,0.0,,0.0,0.0,15.05,0.0,1.0,0.0,0.0
182,3.0,0.0,9.0,4.0,2.0,31.3875,0.0,0.0,0.0,1.0
183,2.0,0.0,1.0,2.0,1.0,39.0,544.0,0.0,0.0,1.0
184,3.0,1.0,4.0,0.0,2.0,22.025,0.0,0.0,0.0,1.0
185,1.0,0.0,,0.0,0.0,50.0,13070.0,0.0,0.0,1.0
186,3.0,1.0,,1.0,0.0,15.5,0.0,0.0,1.0,0.0
187,1.0,0.0,45.0,0.0,0.0,26.55,0.0,0.0,0.0,1.0
188,3.0,0.0,40.0,1.0,1.0,15.5,0.0,0.0,1.0,0.0
189,3.0,0.0,36.0,0.0,0.0,7.8958,0.0,0.0,0.0,1.0
190,2.0,1.0,32.0,0.0,0.0,13.0,0.0,0.0,0.0,1.0
191,2.0,0.0,19.0,0.0,0.0,13.0,0.0,0.0,0.0,1.0
192,3.0,1.0,19.0,1.0,0.0,7.8542,0.0,0.0,0.0,1.0
193,2.0,0.0,3.0,1.0,1.0,26.0,542.0,0.0,0.0,1.0
194,1.0,1.0,44.0,0.0,0.0,27.7208,400.0,1.0,0.0,0.0
195,1.0,1.0,58.0,0.0,0.0,146.5208,14544.0,1.0,0.0,0.0
196,3.0,0.0,,0.0,0.0,7.75,0.0,0.0,1.0,0.0
197,3.0,0.0,42.0,0.0,1.0,8.4042,0.0,0.0,0.0,1.0
198,3.0,1.0,,0.0,0.0,7.75,0.0,0.0,1.0,0.0
199,2.0,1.0,24.0,0.0,0.0,13.0,0.0,0.0,0.0,1.0
200,3.0,0.0,28.0,0.0,0.0,9.5,0.0,0.0,0.0,1.0
201,3.0,0.0,,8.0,2.0,69.55,0.0,0.0,0.0,1.0
202,3.0,0.0,34.0,0.0,0.0,6.4958,0.0,0.0,0.0,1.0
203,3.0,0.0,45.5,0.0,0.0,7.225,0.0,1.0,0.0,0.0
204,3.0,0.0,18.0,0.0,0.0,8.05,0.0,0.0,0.0,1.0
205,3.0,1.0,2.0,0.0,1.0,10.4625,582.0,0.0,0.0,1.0
206,3.0,0.0,32.0,1.0,0.0,15.85,0.0,0.0,0.0,1.0
207,3.0,0.0,26.0,0.0,0.0,18.7875,0.0,1.0,0.0,0.0
208,3.0,1.0,16.0,0.0,0.0,7.75,0.0,0.0,1.0,0.0
209,1.0,0.0,40.0,0.0,0.0,31.0,13069.0,1.0,0.0,0.0
210,3.0,0.0,24.0,0.0,0.0,7.05,0.0,0.0,0.0,1.0
211,2.0,1.0,35.0,0.0,0.0,21.0,0.0,0.0,0.0,1.0
212,3.0,0.0,22.0,0.0,0.0,7.25,0.0,0.0,0.0,1.0
213,2.0,0.0,30.0,0.0,0.0,13.0,0.0,0.0,0.0,1.0
214,3.0,0.0,,1.0,0.0,7.75,0.0,0.0,1.0,0.0
215,1.0,1.0,31.0,1.0,0.0,113.275,16962.0,1.0,0.0,0.0
216,3.0,1.0,27.0,0.0,0.0,7.925,0.0,0.0,0.0,1.0
217,2.0,0.0,42.0,1.0,0.0,27.0,0.0,0.0,0.0,1.0
218,1.0,1.0,32.0,0.0,0.0,76.2917,16889.0,1.0,0.0,0.0
219,2.0,0.0,30.0,0.0,0.0,10.5,0.0,0.0,0.0,1.0
220,3.0,0.0,16.0,0.0,0.0,8.05,0.0,0.0,0.0,1.0
221,2.0,0.0,27.0,0.0,0.0,13.0,0.0,0.0,0.0,1.0
222,3.0,0.0,51.0,0.0,0.0,8.05,0.0,0.0,0.0,1.0
223,3.0,0.0,,0.0,0.0,7.8958,0.0,0.0,0.0,1.0
224,1.0,0.0,38.0,1.0,0.0,90.0,15879.0,0.0,0.0,1.0
225,3.0,0.0,22.0,0.0,0.0,9.35,0.0,0.0,0.0,1.0
226,2.0,0.0,19.0,0.0,0.0,10.5,0.0,0.0,0.0,1.0
227,3.0,0.0,20.5,0.0,0.0,7.25,0.0,0.0,0.0,1.0
228,2.0,0.0,18.0,0.0,0.0,13.0,0.0,0.0,0.0,1.0
229,3.0,1.0,,3.0,1.0,25.4667,0.0,0.0,0.0,1.0
230,1.0,1.0,35.0,1.0,0.0,83.475,15843.0,0.0,0.0,1.0
231,3.0,0.0,29.0,0.0,0.0,7.775,0.0,0.0,0.0,1.0
232,2.0,0.0,59.0,0.0,0.0,13.5,0.0,0.0,0.0,1.0
233,3.0,1.0,5.0,4.0,2.0,31.3875,0.0,0.0,0.0,1.0
234,2.0,0.0,24.0,0.0,0.0,10.5,0.0,0.0,0.0,1.0
235,3.0,1.0,,0.0,0.0,7.55,0.0,0.0,0.0,1.0
236,2.0,0.0,44.0,1.0,0.0,26.0,0.0,0.0,0.0,1.0
237,2.0,1.0,8.0,0.0,2.0,26.25,0.0,0.0,0.0,1.0
238,2.0,0.0,19.0,0.0,0.0,10.5,0.0,0.0,0.0,1.0
239,2.0,0.0,33.0,0.0,0.0,12.275,0.0,0.0,0.0,1.0
240,3.0,1.0,,1.0,0.0,14.4542,0.0,1.0,0.0,0.0
241,3.0,1.0,,1.0,0.0,15.5,0.0,0.0,1.0,0.0
242,2.0,0.0,29.0,0.0,0.0,10.5,0.0,0.0,0.0,1.0
243,3.0,0.0,22.0,0.0,0.0,7.125,0.0,0.0,0.0,1.0
244,3.0,0.0,30.0,0.0,0.0,7.225,0.0,1.0,0.0,0.0
245,1.0,0.0,44.0,2.0,0.0,90.0,15812.0,0.0,1.0,0.0
246,3.0,1.0,25.0,0.0,0.0,7.775,0.0,0.0,0.0,1.0
247,2.0,1.0,24.0,0.0,2.0,14.5,0.0,0.0,0.0,1.0
248,1.0,0.0,37.0,1.0,1.0,52.5542,16961.0,0.0,0.0,1.0
249,2.0,0.0,54.0,1.0,0.0,26.0,0.0,0.0,0.0,1.0
250,3.0,0.0,,0.0,0.0,7.25,0.0,0.0,0.0,1.0
251,3.0,1.0,29.0,1.0,1.0,10.4625,582.0,0.0,0.0,1.0
252,1.0,0.0,62.0,0.0,0.0,26.55,15847.0,0.0,0.0,1.0
253,3.0,0.0,30.0,1.0,0.0,16.1,0.0,0.0,0.0,1.0
254,3.0,1.0,41.0,0.0,2.0,20.2125,0.0,0.0,0.0,1.0
255,3.0,1.0,29.0,0.0,2.0,15.2458,0.0,1.0,0.0,0.0
256,1.0,1.0,,0.0,0.0,79.2,0.0,1.0,0.0,0.0
257,1.0,1.0,30.0,0.0,0.0,86.5,14515.0,0.0,0.0,1.0
258,1.0,1.0,35.0,0.0,0.0,512.3292,0.0,1.0,0.0,0.0
259,2.0,1.0,50.0,0.0,1.0,26.0,0.0,0.0,0.0,1.0
260,3.0,0.0,,0.0,0.0,7.75,0.0,0.0,1.0,0.0
261,3.0,0.0,3.0,4.0,2.0,31.3875,0.0,0.0,0.0,1.0
262,1.0,0.0,52.0,1.0,1.0,79.65,18367.0,0.0,0.0,1.0
263,1.0,0.0,40.0,0.0,0.0,0.0,14584.0,0.0,0.0,1.0
264,3.0,1.0,,0.0,0.0,7.75,0.0,0.0,1.0,0.0
265,2.0,0.0,36.0,0.0,0.0,10.5,0.0,0.0,0.0,1.0
266,3.0,0.0,16.0,4.0,1.0,39.6875,0.0,0.0,0.0,1.0
267,3.0,0.0,25.0,1.0,0.0,7.775,0.0,0.0,0.0,1.0
268,1.0,1.0,58.0,0.0,1.0,153.4625,561245.0,0.0,0.0,1.0
269,1.0,1.0,35.0,0.0,0.0,135.6333,15885.0,0.0,0.0,1.0
270,1.0,0.0,,0.0,0.0,31.0,0.0,0.0,0.0,1.0
271,3.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
272,2.0,1.0,41.0,0.0,1.0,19.5,0.0,0.0,0.0,1.0
273,1.0,0.0,37.0,0.0,1.0,29.7,561212.0,1.0,0.0,0.0
274,3.0,1.0,,0.0,0.0,7.75,0.0,0.0,1.0,0.0
275,1.0,1.0,63.0,1.0,0.0,77.9583,475.0,0.0,0.0,1.0
276,3.0,1.0,45.0,0.0,0.0,7.75,0.0,0.0,0.0,1.0
277,2.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,1.0
278,3.0,0.0,7.0,4.0,1.0,29.125,0.0,0.0,1.0,0.0
279,3.0,1.0,35.0,1.0,1.0,20.25,0.0,0.0,0.0,1.0
280,3.0,0.0,65.0,0.0,0.0,7.75,0.0,0.0,1.0,0.0
281,3.0,0.0,28.0,0.0,0.0,7.8542,0.0,0.0,0.0,1.0
282,3.0,0.0,16.0,0.0,0.0,9.5,0.0,0.0,0.0,1.0
283,3.0,0.0,19.0,0.0,0.0,8.05,0.0,0.0,0.0,1.0
284,1.0,0.0,,0.0,0.0,26.0,13005.0,0.0,0.0,1.0
285,3.0,0.0,33.0,0.0,0.0,8.6625,0.0,1.0,0.0,0.0
286,3.0,0.0,30.0,0.0,0.0,9.5,0.0,0.0,0.0,1.0
287,3.0,0.0,22.0,0.0,0.0,7.8958,0.0,0.0,0.0,1.0
288,2.0,0.0,42.0,0.0,0.0,13.0,0.0,0.0,0.0,1.0
289,3.0,1.0,22.0,0.0,0.0,7.75,0.0,0.0,1.0,0.0
290,1.0,1.0,26.0,0.0,0.0,78.85,0.0,0.0,0.0,1.0
291,1.0,1.0,19.0,1.0,0.0,91.0792,14409.0,1.0,0.0,0.0
292,2.0,0.0,36.0,0.0,0.0,12.875,13.0,1.0,0.0,0.0
293,3.0,1.0,24.0,0.0,0.0,8.85,0.0,0.0,0.0,1.0
294,3.0,0.0,24.0,0.0,0.0,7.8958,0.0,0.0,0.0,1.0
295,1.0,0.0,,0.0,0.0,27.7208,0.0,1.0,0.0,0.0
296,3.0,0.0,23.5,0.0,0.0,7.2292,0.0,1.0,0.0,0.0
297,1.0,1.0,2.0,1.0,2.0,151.55,15626.0,0.0,0.0,1.0
